,UMAP1,UMAP2,Cluster
ME0/ABEC0032.WEC0015334,0.59678227,2.1024861,Noise
ME0/ABEC0032.WEC0015335,-0.019874783,2.3848197,Noise
ME0/ABEC0032.WEC0015336,0.55230975,2.2362015,Noise
ME0/ABEC0032.WEC0015337,0.4203789,2.2347417,Noise
ME0/ABEC0032.WEC0015339,0.72706884,2.0420027,Noise
ME0/ABEC0032.WEC0015340,0.41949257,2.3055704,Noise
ME0/ABEC0032.WEC0015341,0.38434038,3.7972574,Noise
ME0/ABEC0032.WEC0015342,0.7542424,2.7317133,Noise
ME0/ABEC0032.WEC0015343,0.14993304,2.4310389,Noise
ME0/ABEC0032.WEC0015344,0.611568,2.1294937,Noise
ME0/ABEC0032.WEC0015346,0.6857962,2.560913,Noise
ME0/ABEC0032.WEC0015347,0.55770636,2.1497722,Noise
ME0/ABEC0032.WEC0015348,0.4762659,2.2428718,Noise
ME0/ABEC0032.WEC0015350,0.36759624,2.2768857,Noise
ME0/ABEC0032.WEC0015351,0.53451127,2.157067,Noise
ME0/ABEC0032.WEC0015352,0.45406827,3.993559,Noise
ME0/ABEC0032.WEC0015355,0.78130054,2.1250408,Noise
ME0/ABEC0032.WEC0015356,0.57448167,2.4751718,Noise
ME0/ABEC0032.WEC0015357,0.122421086,2.6827514,Noise
ME0/ABEC0032.WEC0015358,0.50516266,2.6668212,Noise
ME0/ABEC0032.WEC0015361,0.4114698,2.213134,Noise
ME0/ABEC0032.WEC0015366,0.42678156,3.9623306,Noise
ME0/ABEC0032.WEC0015369,0.64598274,2.4296896,Noise
ME0/ABEC0032.WEC0015371,0.43166348,2.4836466,Noise
ME0/ABEC0032.WEC0015372,0.044782404,2.473593,Noise
ME0/ABEC0032.WEC0015373,0.45716333,2.4108136,Noise
ME0/ABEC0032.WEC0015374,0.1746688,2.4868975,Noise
ME0/ABEC0032.WEC0015375,0.25713024,2.4486995,Noise
ME0/ABEC0032.WEC0015376,0.27662188,2.4771206,Noise
ME0/ABEC0032.WEC0015377,0.4235831,2.716022,Noise
ME0/ABEC0032.WEC0015381,0.050608527,2.4238272,Noise
ME0/ABEC0032.WEC0015384,0.138595,2.5378113,Noise
ME0/ABEC0033.WEC0016001,0.17061713,2.6381865,Noise
ME0/ABEC0033.WEC0016002,0.31567836,2.806294,Noise
ME0/ABEC0033.WEC0016003,0.19687158,2.5714731,Noise
ME0/ABEC0033.WEC0016004,-0.210476,3.1907258,Noise
ME0/ABEC0033.WEC0016005,0.18438487,2.5150251,Noise
ME0/ABEC0033.WEC0016006,0.26115212,2.45074,Noise
ME0/ABEC0033.WEC0016007,0.07808063,2.7212188,Noise
ME0/ABEC0033.WEC0016008,0.91622996,4.5073123,Cluster 3
ME0/ABEC0033.WEC0016009,-0.012266677,2.902901,Noise
ME0/ABEC0033.WEC0016010,-0.069883876,2.957452,Noise
ME0/ABEC0033.WEC0016011,0.20857807,2.6417632,Noise
ME0/ABEC0033.WEC0016012,-0.1414959,2.994881,Noise
ME0/ABEC0033.WEC0016013,0.3762271,2.997037,Noise
ME0/ABEC0033.WEC0016014,-0.14107591,3.3809438,Noise
ME0/ABEC0033.WEC0016015,-0.1073763,3.055053,Noise
ME0/ABEC0033.WEC0016016,0.39538145,4.1792293,Noise
ME0/ABEC0033.WEC0016017,0.16334216,2.956654,Noise
ME0/ABEC0033.WEC0016018,0.39124033,3.1819658,Noise
ME0/ABEC0033.WEC0016019,0.123266004,2.9025993,Noise
ME0/ABEC0033.WEC0016020,0.11720541,3.3063436,Noise
ME0/ABEC0033.WEC0016021,-0.06114153,2.867635,Noise
ME0/ABEC0033.WEC0016022,0.37160835,3.322209,Noise
ME0/ABEC0033.WEC0016023,0.43080732,4.049132,Noise
ME0/ABEC0033.WEC0016024,-0.098448366,2.758046,Noise
ME0/ABEC0033.WEC0016025,-0.30367783,3.0178063,Noise
ME0/ABEC0033.WEC0016026,-0.26915538,2.8068113,Noise
ME0/ABEC0033.WEC0016027,-0.23050608,2.9116833,Noise
ME0/ABEC0033.WEC0016028,0.16679654,3.243,Noise
ME0/ABEC0033.WEC0016029,-0.08819812,3.0412805,Noise
ME0/ABEC0033.WEC0016030,0.28857234,3.0398247,Noise
ME0/ABEC0033.WEC0016031,-0.07806636,3.118696,Noise
ME0/ABEC0033.WEC0016032,0.08894276,3.055907,Noise
ME0/ABEC0033.WEC0016035,0.5365534,4.4812016,Noise
ME0/ABEC0033.WEC0016036,-0.11186577,3.183095,Noise
ME0/ABEC0033.WEC0016037,-0.12326564,3.4226394,Noise
ME0/ABEC0033.WEC0016038,0.29435113,3.1753504,Noise
ME0/ABEC0033.WEC0016039,-0.119201235,2.7866693,Noise
ME0/ABEC0033.WEC0016040,0.21716328,3.2092693,Noise
ME0/ABEC0033.WEC0016043,0.0656572,3.4144344,Noise
ME0/ABEC0033.WEC0016044,-0.049592115,3.2408056,Noise
ME0/ABEC0033.WEC0016045,-0.00039524052,3.2071447,Noise
ME0/ABEC0033.WEC0016046,-0.2030482,3.0916686,Noise
ME0/ABEC0033.WEC0016047,0.04081341,3.211011,Noise
ME0/ABEC0033.WEC0016048,0.21673413,3.1642816,Noise
ME0/ABEC0033.WEC0016051,-0.015429031,3.3125968,Noise
ME0/ABEC0033.WEC0016052,0.26798445,3.8982337,Noise
ME0/ABEC0033.WEC0016053,0.31238326,3.6220086,Noise
ME0/ABEC0033.WEC0016054,-0.15104625,3.130797,Noise
ME0/ABEC0033.WEC0016055,0.58933043,4.317187,Noise
ME0/ABEC0033.WEC0016056,0.1516412,3.1676807,Noise
ME0/ABEC0033.WEC0016059,0.06218129,3.6856654,Noise
ME0/ABEC0033.WEC0016060,0.021842267,3.2050297,Noise
ME0/ABEC0033.WEC0016061,0.32243025,3.3082972,Noise
ME0/ABEC0033.WEC0016062,-0.09154732,3.8428593,Noise
ME0/ABEC0033.WEC0016063,-0.09390086,3.2460802,Noise
ME0/ABEC0033.WEC0016064,-0.045638982,3.4446828,Noise
ME0/ABEC0033.WEC0016070,-0.13194586,3.886001,Noise
ME0/ABEC0033.WEC0016071,-0.38187593,3.4163616,Noise
ME0/ABEC0033.WEC0016072,-0.13794738,3.3715818,Noise
ME0/ABEC0033.WEC0016077,-0.02017859,3.3516781,Noise
ME0/ABEC0033.WEC0016078,0.0393113,3.705261,Noise
ME0/ABEC0033.WEC0016079,-0.33660915,3.5699346,Noise
ME0/ABEC0033.WEC0016085,-0.19618694,3.6356878,Noise
ME0/ABEC0033.WEC0016086,-0.32208002,3.6805465,Noise
ME0/ABEC0033.WEC0016090,0.12172867,3.6263752,Noise
ME0/ABEC0033.WEC0016093,-0.21794006,3.6284475,Noise
ME0/ABEC0033.WEC0016097,-0.004340925,3.782941,Noise
ME0/ABEC0033.WEC0016098,-0.19742888,3.570069,Noise
ME0/ABEC0033.WEC0016099,-0.02098841,3.565343,Noise
ME0/ABEC0033.WEC0016100,-0.064932495,3.5625112,Noise
ME0/ABEC0033.WEC0016102,-0.044765644,3.423107,Noise
ME0/ABEC0033.WEC0016103,-0.15625603,3.480161,Noise
ME0/ABEC0033.WEC0016104,0.004593976,4.0700397,Noise
ME0/ABEC0033.WEC0016105,-0.01065097,3.9862733,Noise
ME0/ABEC0033.WEC0016106,0.062249452,3.9278948,Noise
ME0/ABEC0033.WEC0016107,-0.24631257,3.4867117,Noise
ME0/ABEC0033.WEC0016108,-0.49537906,3.9269385,Noise
ME0/ABEC0033.WEC0016109,-0.2902124,3.6899626,Noise
ME0/ABEC0033.WEC0016110,-0.03906952,3.533033,Noise
ME0/ABEC0033.WEC0016111,-0.43895012,3.700459,Noise
ME0/ABEC0033.WEC0016112,-0.36274233,3.6927607,Noise
ME0/ABEC0033.WEC0016113,-0.35772887,3.8951921,Noise
ME0/ABEC0033.WEC0016114,-0.4321658,3.7066338,Noise
ME0/ABEC0033.WEC0016115,-0.26799473,3.5728788,Noise
ME0/ABEC0033.WEC0016116,-0.12789664,3.7120705,Noise
ME0/ABEC0033.WEC0016117,-0.4677076,4.08705,Noise
ME0/ABEC0033.WEC0016118,-0.2544204,4.044505,Noise
ME0/ABEC0033.WEC0016119,0.41263154,4.4555273,Noise
ME0/ABEC0033.WEC0016120,-0.43029538,3.7117283,Noise
ME0/ABEC0033.WEC0016122,0.2548431,4.238821,Noise
ME0/ABEC0033.WEC0016123,0.21855612,4.3115335,Noise
ME0/ABEC0033.WEC0016124,-0.49216193,4.1927595,Noise
ME0/ABEC0033.WEC0016125,-0.28624532,4.0884504,Noise
ME0/ABEC0033.WEC0016126,-0.56316197,3.9369864,Noise
ME0/ABEC0033.WEC0016127,-0.15718,3.9325914,Noise
ME0/ABEC0033.WEC0016128,-0.12456339,3.9913306,Noise
ME0/ABEC0033.WEC0016132,-0.3348594,4.2756567,Noise
ME0/ABEC0033.WEC0016133,-0.33616826,3.948192,Noise
ME0/ABEC0033.WEC0016134,1.0858864,5.153025,Cluster 3
ME0/ABEC0033.WEC0016135,-0.07814918,3.9412155,Noise
ME0/ABEC0033.WEC0016136,-0.14723031,4.307622,Noise
ME0/ABEC0033.WEC0016138,-0.4497756,4.0241904,Noise
ME0/ABEC0033.WEC0016139,-0.1936435,4.1547318,Noise
ME0/ABEC0033.WEC0016140,-0.68621355,4.0866885,Noise
ME0/ABEC0033.WEC0016141,-0.55239785,4.16852,Noise
ME0/ABEC0033.WEC0016142,0.4784163,4.786416,Noise
ME0/ABEC0033.WEC0016143,-0.26408583,4.1703176,Noise
ME0/ABEC0033.WEC0016144,-0.3110565,4.0636654,Noise
ME0/ABEC0033.WEC0016147,-0.35210714,4.159234,Noise
ME0/ABEC0033.WEC0016148,0.41303414,4.668535,Noise
ME0/ABEC0033.WEC0016149,0.040717192,4.3234015,Noise
ME0/ABEC0033.WEC0016150,-0.25524467,4.010689,Noise
ME0/ABEC0033.WEC0016151,-0.5543493,4.421038,Noise
ME0/ABEC0033.WEC0016152,-0.24903983,4.5036483,Noise
ME0/ABEC0033.WEC0016156,0.3515254,4.7268314,Noise
ME0/ABEC0033.WEC0016157,-0.47073045,4.277809,Noise
ME0/ABEC0033.WEC0016158,0.16458443,4.460399,Noise
ME0/ABEC0033.WEC0016159,0.020275967,4.437844,Noise
ME0/ABEC0033.WEC0016164,0.04788991,4.3694124,Noise
ME0/ABEC0033.WEC0016165,-0.27148432,4.4684577,Noise
ME0/ABEC0033.WEC0016167,-0.08073472,4.2526646,Noise
ME0/ABEC0033.WEC0016168,-0.18118274,4.3325644,Noise
ME0/ABEC0034.WEC0016193,2.0995507,7.429951,Noise
ME0/ABEC0034.WEC0016194,-0.15384263,4.2483077,Noise
ME0/ABEC0034.WEC0016195,-0.33843353,4.210439,Noise
ME0/ABEC0034.WEC0016196,0.2572498,4.6866274,Noise
ME0/ABEC0034.WEC0016197,-0.21576306,4.418576,Noise
ME0/ABEC0034.WEC0016198,0.020073803,4.5064507,Noise
ME0/ABEC0034.WEC0016199,-0.31942096,4.6041193,Noise
ME0/ABEC0034.WEC0016200,0.12964113,4.488786,Noise
ME0/ABEC0034.WEC0016201,-0.3185474,4.2828383,Noise
ME0/ABEC0034.WEC0016202,2.0062008,7.3277225,Noise
ME0/ABEC0034.WEC0016203,-0.022275386,4.5867677,Noise
ME0/ABEC0034.WEC0016204,-0.16018037,4.4784064,Noise
ME0/ABEC0034.WEC0016205,-0.23542361,4.479047,Noise
ME0/ABEC0034.WEC0016206,0.5578833,4.95373,Noise
ME0/ABEC0034.WEC0016207,-0.16254188,4.5075455,Noise
ME0/ABEC0034.WEC0016208,-0.30644757,4.5521073,Noise
ME0/ABEC0034.WEC0016209,-0.39203933,4.3716483,Noise
ME0/ABEC0034.WEC0016210,-0.33016372,4.7011156,Noise
ME0/ABEC0034.WEC0016211,-0.5834474,4.5315323,Noise
ME0/ABEC0034.WEC0016212,-0.29820874,4.789203,Noise
ME0/ABEC0034.WEC0016213,-0.4136574,4.524679,Noise
ME0/ABEC0034.WEC0016214,-0.06378716,4.872499,Noise
ME0/ABEC0034.WEC0016215,0.23056668,5.0325956,Noise
ME0/ABEC0034.WEC0016216,-0.4829329,4.7675624,Noise
ME0/ABEC0034.WEC0016218,-0.030991662,4.899697,Noise
ME0/ABEC0034.WEC0016219,-0.13988964,4.5609455,Noise
ME0/ABEC0034.WEC0016220,-0.21161734,4.737992,Noise
ME0/ABEC0034.WEC0016221,-0.19180691,4.509554,Noise
ME0/ABEC0034.WEC0016222,0.15130386,5.0057645,Noise
ME0/ABEC0034.WEC0016223,0.09455125,5.050991,Noise
ME0/ABEC0034.WEC0016224,-0.29267386,4.8006063,Noise
ME0/ABEC0034.WEC0016226,0.43176356,5.2066474,Noise
ME0/ABEC0034.WEC0016227,0.20025916,5.040469,Noise
ME0/ABEC0034.WEC0016228,-0.2908808,4.761474,Noise
ME0/ABEC0034.WEC0016229,-0.085315414,5.0613546,Noise
ME0/ABEC0034.WEC0016230,-0.027247185,4.916846,Noise
ME0/ABEC0034.WEC0016231,-0.18490115,4.7745495,Noise
ME0/ABEC0034.WEC0016232,-0.18554674,4.6839657,Noise
ME0/ABEC0034.WEC0016234,-0.1357217,4.580661,Noise
ME0/ABEC0034.WEC0016236,-0.01824443,4.9359717,Noise
ME0/ABEC0034.WEC0016237,0.26779833,5.116653,Noise
ME0/ABEC0034.WEC0016238,0.17138374,5.1975546,Noise
ME0/ABEC0034.WEC0016239,-0.002734525,4.9765277,Noise
ME0/ABEC0034.WEC0016240,0.020222165,5.105205,Noise
ME0/ABEC0034.WEC0016243,0.15610573,5.0214825,Noise
ME0/ABEC0034.WEC0016244,-0.049960844,4.8256464,Noise
ME0/ABEC0034.WEC0016245,-0.06367344,4.921239,Noise
ME0/ABEC0034.WEC0016246,-0.20276949,4.8469377,Noise
ME0/ABEC0034.WEC0016247,0.04353627,5.097338,Noise
ME0/ABEC0034.WEC0016248,-0.23443043,5.119468,Noise
ME0/ABEC0034.WEC0016252,-0.18633866,5.07011,Noise
ME0/ABEC0034.WEC0016253,-0.120381355,4.8651867,Noise
ME0/ABEC0034.WEC0016254,-0.36437175,4.9107175,Noise
ME0/ABEC0034.WEC0016255,0.23181452,5.3995075,Noise
ME0/ABEC0034.WEC0016256,-0.43404505,5.350169,Noise
ME0/ABEC0034.WEC0016261,0.2155605,5.0532656,Noise
ME0/ABEC0034.WEC0016262,0.042204063,5.175082,Noise
ME0/ABEC0034.WEC0016263,-0.0004882203,5.1936393,Noise
ME0/ABEC0034.WEC0016264,-0.17653866,5.1382527,Noise
ME0/ABEC0034.WEC0016269,1.4178884,5.517315,Cluster 3
ME0/ABEC0034.WEC0016270,-0.14344375,5.1516495,Noise
ME0/ABEC0034.WEC0016277,-0.07847198,4.9655256,Noise
ME0/ABEC0034.WEC0016290,-0.025939243,5.4698677,Noise
ME0/ABEC0034.WEC0016291,0.05176032,5.0239663,Noise
ME0/ABEC0034.WEC0016292,0.21653016,5.272349,Noise
ME0/ABEC0034.WEC0016293,0.26842862,5.4259834,Noise
ME0/ABEC0034.WEC0016294,0.45629975,5.528782,Noise
ME0/ABEC0034.WEC0016295,0.121209174,5.0974035,Noise
ME0/ABEC0034.WEC0016296,0.105121665,5.2624545,Noise
ME0/ABEC0034.WEC0016297,0.48630318,5.15825,Noise
ME0/ABEC0034.WEC0016298,1.9268311,7.127965,Noise
ME0/ABEC0034.WEC0016299,-0.097447164,5.144755,Noise
ME0/ABEC0034.WEC0016300,0.24034631,5.456483,Noise
ME0/ABEC0034.WEC0016301,0.030065466,5.116611,Noise
ME0/ABEC0034.WEC0016302,-0.22976176,5.317664,Noise
ME0/ABEC0034.WEC0016303,0.08703969,4.8840513,Noise
ME0/ABEC0034.WEC0016304,0.1467154,5.3095055,Noise
ME0/ABEC0034.WEC0016305,-0.16698995,5.1549625,Noise
ME0/ABEC0034.WEC0016306,0.0986685,5.254523,Noise
ME0/ABEC0034.WEC0016307,0.8908,5.3181915,Noise
ME0/ABEC0034.WEC0016308,0.5083436,5.257599,Noise
ME0/ABEC0034.WEC0016309,0.6521927,5.472106,Noise
ME0/ABEC0034.WEC0016310,0.35552636,5.440879,Noise
ME0/ABEC0034.WEC0016311,0.015735405,5.56544,Noise
ME0/ABEC0034.WEC0016312,0.24572146,5.5005693,Noise
ME0/ABEC0034.WEC0016314,0.31105357,5.347743,Noise
ME0/ABEC0034.WEC0016315,0.14460284,5.4317617,Noise
ME0/ABEC0034.WEC0016316,0.15686029,5.685526,Noise
ME0/ABEC0034.WEC0016317,0.34586588,5.424061,Noise
ME0/ABEC0034.WEC0016318,0.067580186,5.573122,Noise
ME0/ABEC0034.WEC0016319,0.108449034,5.596152,Noise
ME0/ABEC0034.WEC0016320,0.77432173,5.4496145,Noise
ME0/ABEC0034.WEC0016323,0.039193,5.4071097,Noise
ME0/ABEC0034.WEC0016324,0.3422768,5.426702,Noise
ME0/ABEC0034.WEC0016325,0.20523073,5.7476134,Noise
ME0/ABEC0034.WEC0016326,0.34316602,5.543558,Noise
ME0/ABEC0034.WEC0016327,-0.045408327,5.4740357,Noise
ME0/ABEC0034.WEC0016328,0.42254248,5.6330886,Cluster 3
ME0/ABEC0034.WEC0016331,0.62164575,5.8013897,Cluster 3
ME0/ABEC0034.WEC0016332,0.14260367,5.380785,Noise
ME0/ABEC0034.WEC0016333,0.21826419,5.3729315,Noise
ME0/ABEC0034.WEC0016334,0.46057704,5.648994,Cluster 3
ME0/ABEC0034.WEC0016335,0.33332548,5.45533,Noise
ME0/ABEC0034.WEC0016336,0.5401283,5.3259115,Noise
ME0/ABEC0034.WEC0016339,0.33619985,5.548126,Noise
ME0/ABEC0034.WEC0016340,0.7932563,5.521484,Noise
ME0/ABEC0034.WEC0016341,0.5170424,5.3878665,Noise
ME0/ABEC0034.WEC0016342,1.1036037,5.6012545,Noise
ME0/ABEC0034.WEC0016348,0.37034944,5.461921,Noise
ME0/ABEC0034.WEC0016350,0.15224299,5.53278,Noise
ME0/ABEC0034.WEC0016352,0.48226848,5.97541,Cluster 3
ME0/ABEC0034.WEC0016357,0.50097245,5.490519,Noise
ME0/ABEC0034.WEC0016358,1.2384306,5.777064,Cluster 3
ME0/ABEC0034.WEC0016360,0.45708787,5.5015397,Noise
ME0/ABEC0035.WEC0017001,0.38572082,5.802307,Cluster 3
ME0/ABEC0035.WEC0017002,0.7385558,5.690256,Cluster 3
ME0/ABEC0035.WEC0017003,0.47873166,5.6727295,Cluster 3
ME0/ABEC0035.WEC0017004,0.44768393,5.4858255,Noise
ME0/ABEC0035.WEC0017005,0.64714915,5.3573284,Noise
ME0/ABEC0035.WEC0017006,0.5782981,5.5505085,Noise
ME0/ABEC0035.WEC0017007,0.8209161,5.6481194,Cluster 3
ME0/ABEC0035.WEC0017008,0.73840773,5.634007,Noise
ME0/ABEC0035.WEC0017009,0.86760885,5.8504,Cluster 3
ME0/ABEC0035.WEC0017010,0.8351622,5.659827,Noise
ME0/ABEC0035.WEC0017011,0.5518402,5.809009,Cluster 3
ME0/ABEC0035.WEC0017012,0.59504735,5.4745665,Noise
ME0/ABEC0035.WEC0017013,0.6673825,5.6073947,Noise
ME0/ABEC0035.WEC0017014,1.1333041,5.528211,Noise
ME0/ABEC0035.WEC0017015,0.4390127,5.8428106,Cluster 3
ME0/ABEC0035.WEC0017016,0.562159,5.8457026,Cluster 3
ME0/ABEC0035.WEC0017017,0.77503794,5.966104,Cluster 3
ME0/ABEC0035.WEC0017018,0.9178955,5.7252884,Cluster 3
ME0/ABEC0035.WEC0017019,0.5834831,5.663909,Cluster 3
ME0/ABEC0035.WEC0017020,0.70824337,5.444601,Noise
ME0/ABEC0035.WEC0017021,0.5091159,5.7868423,Cluster 3
ME0/ABEC0035.WEC0017022,0.6714269,5.8165164,Cluster 3
ME0/ABEC0035.WEC0017023,0.6521492,6.012113,Cluster 3
ME0/ABEC0035.WEC0017024,0.7264128,5.805037,Cluster 3
ME0/ABEC0035.WEC0017025,0.83673126,5.957643,Cluster 3
ME0/ABEC0035.WEC0017026,0.593138,5.707337,Cluster 3
ME0/ABEC0035.WEC0017027,0.84237266,5.7257633,Cluster 3
ME0/ABEC0035.WEC0017028,0.44534847,5.670319,Cluster 3
ME0/ABEC0035.WEC0017029,0.5570157,5.5437675,Noise
ME0/ABEC0035.WEC0017030,0.7901902,5.683679,Cluster 3
ME0/ABEC0035.WEC0017031,0.77498984,5.5842037,Noise
ME0/ABEC0035.WEC0017032,0.831304,5.8265452,Cluster 3
ME0/ABEC0035.WEC0017034,0.80070186,5.9224586,Cluster 3
ME0/ABEC0035.WEC0017035,0.7099169,5.4645267,Noise
ME0/ABEC0035.WEC0017036,0.7498142,5.689977,Cluster 3
ME0/ABEC0035.WEC0017037,1.1803777,6.1337194,Cluster 3
ME0/ABEC0035.WEC0017038,0.72703075,5.7685723,Cluster 3
ME0/ABEC0035.WEC0017039,0.717881,5.8237205,Cluster 3
ME0/ABEC0035.WEC0017040,0.8209284,5.7101526,Cluster 3
ME0/ABEC0035.WEC0017041,0.75563014,5.7370415,Cluster 3
ME0/ABEC0035.WEC0017042,1.048508,5.941559,Cluster 3
ME0/ABEC0035.WEC0017043,0.63812613,5.621101,Noise
ME0/ABEC0035.WEC0017044,0.8603033,6.1514626,Cluster 3
ME0/ABEC0035.WEC0017045,0.9797741,5.574501,Noise
ME0/ABEC0035.WEC0017046,0.882225,5.931141,Cluster 3
ME0/ABEC0035.WEC0017047,1.271442,5.7132983,Cluster 3
ME0/ABEC0035.WEC0017048,0.70219016,6.2358565,Cluster 3
ME0/ABEC0035.WEC0017050,0.8693787,6.049958,Cluster 3
ME0/ABEC0035.WEC0017051,0.8182263,6.0664515,Cluster 3
ME0/ABEC0035.WEC0017052,1.1032764,6.3432975,Cluster 3
ME0/ABEC0035.WEC0017053,1.1312371,6.129121,Cluster 3
ME0/ABEC0035.WEC0017054,1.1985112,5.6859174,Noise
ME0/ABEC0035.WEC0017055,1.1446017,5.8578053,Cluster 3
ME0/ABEC0035.WEC0017056,1.0670289,5.679394,Noise
ME0/ABEC0035.WEC0017058,1.0394133,5.946471,Cluster 3
ME0/ABEC0035.WEC0017059,0.731136,5.7674727,Cluster 3
ME0/ABEC0035.WEC0017060,1.0255252,6.193508,Cluster 3
ME0/ABEC0035.WEC0017061,0.9876111,5.9766994,Cluster 3
ME0/ABEC0035.WEC0017062,1.0246811,6.067092,Cluster 3
ME0/ABEC0035.WEC0017063,0.9581756,6.034967,Cluster 3
ME0/ABEC0035.WEC0017064,0.9849589,5.9335265,Cluster 3
ME0/ABEC0035.WEC0017067,1.3272613,5.856074,Cluster 3
ME0/ABEC0035.WEC0017068,0.9417654,5.938786,Cluster 3
ME0/ABEC0035.WEC0017069,0.72781277,5.9760637,Cluster 3
ME0/ABEC0035.WEC0017070,1.2532245,5.827313,Cluster 3
ME0/ABEC0035.WEC0017072,1.3005078,5.8159795,Cluster 3
ME0/ABEC0035.WEC0017075,1.7154208,6.6129627,Noise
ME0/ABEC0035.WEC0017076,1.0637884,6.0430007,Cluster 3
ME0/ABEC0035.WEC0017077,0.9916012,6.275209,Cluster 3
ME0/ABEC0035.WEC0017078,1.4429829,5.930834,Cluster 3
ME0/ABEC0035.WEC0017079,1.0850271,5.773326,Noise
ME0/ABEC0035.WEC0017080,0.9120528,6.301604,Cluster 3
ME0/ABEC0035.WEC0017084,1.285331,6.7650714,Noise
ME0/ABEC0035.WEC0017085,1.208389,6.382613,Cluster 3
ME0/ABEC0035.WEC0017086,1.2785252,6.78648,Noise
ME0/ABEC0035.WEC0017087,1.2429038,6.5424886,Cluster 3
ME0/ABEC0035.WEC0017097,1.0944549,6.08512,Cluster 3
ME0/ABEC0035.WEC0017098,1.2613461,6.35648,Cluster 3
ME0/ABEC0035.WEC0017099,1.5733399,6.4159074,Cluster 3
ME0/ABEC0035.WEC0017100,1.5076451,6.4575825,Cluster 3
ME0/ABEC0035.WEC0017101,0.88020617,6.3144436,Cluster 3
ME0/ABEC0035.WEC0017102,1.4144893,6.188807,Cluster 3
ME0/ABEC0035.WEC0017103,1.3749765,6.0939536,Cluster 3
ME0/ABEC0035.WEC0017104,1.3453342,6.698265,Noise
ME0/ABEC0035.WEC0017105,1.9598118,5.9973383,Cluster 3
ME0/ABEC0035.WEC0017106,1.0998737,5.964269,Cluster 3
ME0/ABEC0035.WEC0017107,1.3078039,6.4566383,Cluster 3
ME0/ABEC0035.WEC0017108,1.2658305,6.1946645,Cluster 3
ME0/ABEC0035.WEC0017109,1.1409624,6.220533,Cluster 3
ME0/ABEC0035.WEC0017110,1.3048432,6.361539,Cluster 3
ME0/ABEC0035.WEC0017111,1.365592,6.175767,Cluster 3
ME0/ABEC0035.WEC0017112,1.308827,6.5148873,Cluster 3
ME0/ABEC0035.WEC0017113,1.1840394,6.429673,Cluster 3
ME0/ABEC0035.WEC0017114,1.5562608,6.802039,Noise
ME0/ABEC0035.WEC0017115,1.2346468,6.533035,Cluster 3
ME0/ABEC0035.WEC0017116,1.3848349,6.2880106,Cluster 3
ME0/ABEC0035.WEC0017117,1.5376033,6.1041203,Cluster 3
ME0/ABEC0035.WEC0017118,1.2045927,6.3951645,Cluster 3
ME0/ABEC0035.WEC0017119,1.3168687,6.334818,Cluster 3
ME0/ABEC0035.WEC0017120,1.3257489,6.555885,Cluster 3
ME0/ABEC0035.WEC0017121,1.3636396,6.549013,Cluster 3
ME0/ABEC0035.WEC0017122,1.6236241,5.8726754,Cluster 3
ME0/ABEC0035.WEC0017123,1.4244486,6.0715675,Cluster 3
ME0/ABEC0035.WEC0017124,1.3039615,6.310774,Cluster 3
ME0/ABEC0035.WEC0017125,1.3054639,6.526779,Cluster 3
ME0/ABEC0035.WEC0017126,1.519781,6.328749,Cluster 3
ME0/ABEC0035.WEC0017127,1.6189492,6.5684786,Cluster 3
ME0/ABEC0035.WEC0017128,1.6692393,6.1194034,Cluster 3
ME0/ABEC0035.WEC0017129,1.5646619,6.986221,Noise
ME0/ABEC0035.WEC0017130,1.4407771,6.335189,Cluster 3
ME0/ABEC0035.WEC0017132,1.6651412,6.413666,Cluster 3
ME0/ABEC0035.WEC0017133,1.5031116,6.5807176,Cluster 3
ME0/ABEC0035.WEC0017134,1.5039603,6.4344993,Cluster 3
ME0/ABEC0035.WEC0017135,1.4347733,6.530741,Cluster 3
ME0/ABEC0035.WEC0017136,1.2480103,6.280738,Cluster 3
ME0/ABEC0035.WEC0017137,1.75612,6.3746247,Cluster 3
ME0/ABEC0035.WEC0017138,1.3051417,6.176234,Cluster 3
ME0/ABEC0035.WEC0017139,1.5265707,6.2529593,Cluster 3
ME0/ABEC0035.WEC0017140,1.6315893,6.377433,Cluster 3
ME0/ABEC0035.WEC0017141,1.4980017,6.425273,Cluster 3
ME0/ABEC0035.WEC0017142,1.6438577,6.2011375,Cluster 3
ME0/ABEC0035.WEC0017143,1.8999074,6.4942875,Noise
ME0/ABEC0035.WEC0017144,1.2484034,6.317588,Cluster 3
ME0/ABEC0035.WEC0017145,1.7611147,6.2661595,Cluster 3
ME0/ABEC0035.WEC0017146,1.6366388,6.325827,Cluster 3
ME0/ABEC0035.WEC0017147,1.6871461,6.3929515,Cluster 3
ME0/ABEC0035.WEC0017148,1.5299629,6.085846,Cluster 3
ME0/ABEC0035.WEC0017149,1.5009456,6.193974,Cluster 3
ME0/ABEC0035.WEC0017150,1.6377864,6.050437,Cluster 3
ME0/ABEC0035.WEC0017151,1.3419892,6.1032047,Cluster 3
ME0/ABEC0035.WEC0017152,1.565747,6.456876,Cluster 3
ME0/ABEC0035.WEC0017154,1.3722757,6.33303,Cluster 3
ME0/ABEC0035.WEC0017155,1.5615392,6.290975,Cluster 3
ME0/ABEC0035.WEC0017156,1.6633214,6.087019,Cluster 3
