,UMAP1,UMAP2,Cluster
ME0/ABEC0021.WEC0010068,3.9235399,2.5323849,Noise
ME0/ABEC0021.WEC0010069,2.0458593,8.40171,Cluster 1
ME0/ABEC0021.WEC0010070,2.1105645,8.263888,Cluster 1
ME0/ABEC0021.WEC0010071,1.9296591,8.798671,Cluster 1
ME0/ABEC0021.WEC0010072,2.2001872,8.366901,Cluster 1
ME0/ABEC0021.WEC0010073,1.7536737,8.431111,Cluster 1
ME0/ABEC0021.WEC0010074,2.16151,8.311524,Cluster 1
ME0/ABEC0021.WEC0010075,1.8156952,8.354219,Cluster 1
ME0/ABEC0021.WEC0010076,1.6472794,8.6453285,Cluster 1
ME0/ABEC0021.WEC0010077,1.8387258,8.414212,Cluster 1
ME0/ABEC0021.WEC0010078,2.1903822,8.437523,Cluster 1
ME0/ABEC0021.WEC0010079,1.9414331,8.543293,Cluster 1
ME0/ABEC0021.WEC0010080,3.6952853,2.3286319,Noise
ME0/ABEC0021.WEC0010081,1.9805208,8.401735,Cluster 1
ME0/ABEC0021.WEC0010082,3.7599552,2.2806902,Noise
ME0/ABEC0021.WEC0010083,2.112425,8.28493,Cluster 1
ME0/ABEC0021.WEC0010084,2.1743705,8.336894,Cluster 1
ME0/ABEC0021.WEC0010085,3.793933,2.4222004,Noise
ME0/ABEC0021.WEC0010086,3.4581022,4.696265,Noise
ME0/ABEC0021.WEC0010087,3.8589714,2.4173248,Noise
ME0/ABEC0021.WEC0010088,3.720267,2.386897,Noise
ME0/ABEC0021.WEC0010089,2.0629551,8.200433,Cluster 1
ME0/ABEC0021.WEC0010090,1.9863268,8.346659,Cluster 1
ME0/ABEC0021.WEC0010091,2.1111107,8.020324,Cluster 1
ME0/ABEC0021.WEC0010092,2.1370554,8.349533,Cluster 1
ME0/ABEC0021.WEC0010093,2.1709974,8.327763,Cluster 1
ME0/ABEC0021.WEC0010094,2.0862985,8.13611,Cluster 1
ME0/ABEC0021.WEC0010095,2.66197,8.373286,Cluster 1
ME0/ABEC0021.WEC0010101,2.356916,7.791955,Cluster 1
ME0/ABEC0021.WEC0010102,2.2781525,7.6521487,Cluster 1
ME0/ABEC0021.WEC0010103,2.4416006,8.187017,Cluster 1
ME0/ABEC0021.WEC0010105,2.2180297,8.113642,Cluster 1
ME0/ABEC0021.WEC0010106,2.3231323,8.225776,Cluster 1
ME0/ABEC0021.WEC0010107,2.3320198,8.309975,Cluster 1
ME0/ABEC0021.WEC0010109,2.3112936,8.278612,Cluster 1
ME0/ABEC0021.WEC0010110,2.2706227,8.230889,Cluster 1
ME0/ABEC0021.WEC0010111,2.1505039,7.5623984,Noise
ME0/ABEC0021.WEC0010112,2.0286603,7.987567,Cluster 1
ME0/ABEC0021.WEC0010113,2.386062,8.083159,Cluster 1
ME0/ABEC0021.WEC0010114,2.4213936,7.909435,Cluster 1
ME0/ABEC0021.WEC0010115,2.344828,8.23308,Cluster 1
ME0/ABEC0021.WEC0010116,2.1326597,8.163785,Cluster 1
ME0/ABEC0021.WEC0010117,2.1625843,8.30625,Cluster 1
ME0/ABEC0021.WEC0010118,2.2407866,8.096843,Cluster 1
ME0/ABEC0021.WEC0010119,2.3232172,8.117566,Cluster 1
ME0/ABEC0021.WEC0010120,2.4782822,8.020392,Cluster 1
ME0/ABEC0021.WEC0010121,2.0248034,7.9363904,Cluster 1
ME0/ABEC0021.WEC0010122,2.259555,8.26917,Cluster 1
ME0/ABEC0021.WEC0010123,2.4773228,8.118642,Cluster 1
ME0/ABEC0021.WEC0010124,2.3237162,8.182924,Cluster 1
ME0/ABEC0021.WEC0010125,2.2223148,8.205843,Cluster 1
ME0/ABEC0021.WEC0010126,2.4183278,8.09978,Cluster 1
ME0/ABEC0021.WEC0010127,2.1875627,7.902469,Cluster 1
ME0/ABEC0021.WEC0010128,2.434214,7.955539,Cluster 1
ME0/ABEC0021.WEC0010129,2.422456,8.213464,Cluster 1
ME0/ABEC0021.WEC0010130,2.450715,8.08471,Cluster 1
ME0/ABEC0021.WEC0010132,2.392179,8.071735,Cluster 1
ME0/ABEC0021.WEC0010133,2.381254,8.336211,Cluster 1
ME0/ABEC0021.WEC0010134,2.500569,8.148675,Cluster 1
